project_ID,Patch_no,Patch_ID,Pre_post,Patch_hab_type,Area_m2,Area_ha,Total_hab_type_in_map_ha,Total_hab_type_in_metric_ha,Percent_difference,Match_to_pre/post,Bordering_hab,Bordering_hab_urban,Broad_hab,Distance to nearest recorded broad hab type (post-only),Part_of_larger_unit,Area_contiguous_m2,Habs_within_contiguous,Notes
35,18,35.18,pre,Other neutral grassland,1726.75,0.172675,4.533181,4.607907601,,,"Urban, mixed scrub",Yes,Grassland,,Yes,0.2163072,"Other neutral grassland, mixed scrub",
35,19,35.19,pre,Mixed scrub,436.322,0.0436322,0.0845897,0.087481915,,,"Other neutral grassland, woodland",No,Heathland and shrub,,Yes,,"Other neutral grassland, mixed scrub",
35,20,35.2,pre,Mixed scrub,127.683,0.0127683,0.0845897,0.087481915,,,"Urban, woodland",Yes,Heathland and shrub,,No,NA,NA,
35,21,35.21,post,Lowland meadows,28227.225,2.8227225,3.1202977,3.147796303,-0.87741515,,Other neutral grassland (offsite),No,Grassland,,Yes,5.0327138,"Lowland meadows, other neutral grassland, modified grassland, mixed scrub, traditional orchard",
35,22,35.22,post,Other neutral grassland,1415.282,0.1415282,0.8324031,0.86597699,-3.953636786,,Lowland meadows,No,Grassland,,Yes,,"Lowland meadows, other neutral grassland, modified grassland, mixed scrub, traditional orchard",
35,23,35.23,post,Mixed scrub,3293.454,0.3293454,1.0367063,0.988356518,4.77513894,,"Lowland meadows, modified grassland",No,Heathland and shrub,,Yes,,"Lowland meadows, other neutral grassland, modified grassland, mixed scrub, traditional orchard",
35,24,35.24,post,Modified grassland,850.781,0.0850781,0.4896696,0.489534409,0.027612428,,"Urban, modified grassland",Yes,Grassland,,Yes,,"Lowland meadows, other neutral grassland, modified grassland, mixed scrub, traditional orchard",
35,25,35.25,post,Other neutral grassland,3383.183,0.3383183,0.8324031,0.86597699,,,"Other neutral grassland (offsite), mixed scrub",No,Grassland,,Yes,,"Lowland meadows, other neutral grassland, modified grassland, mixed scrub, traditional orchard",
35,26,35.26,post,Modified grassland,442.904,0.0442904,0.4896696,0.489534409,,,"Urban, modified grassland",Yes,Grassland,,Yes,,"Lowland meadows, other neutral grassland, modified grassland, mixed scrub, traditional orchard",
35,27,35.27,post,Lowland mixed deciduous woodland,1478.307,0.1478307,0.1478307,0.1516784,-2.569337626,,"Urban, mixed scrub",Yes,Woodland and forest,,Yes,0.3549423,"Mixed scrub, modified grassland, lowland mixed deciduous woodland",
35,28,35.28,post,Mixed scrub,1054.452,0.1054452,1.0367063,0.988356518,,,"Urban, lowland mixed deciduous woodland",Yes,Heathland and shrub,,Yes,,"Mixed scrub, modified grassland, lowland mixed deciduous woodland",
35,29,35.29,post,Other neutral grassland,327.939,0.0327939,0.8324031,0.86597699,,,Urban,Yes,Grassland,,No,NA,NA,
35,30,35.3,post,Other neutral grassland,381.26,0.038126,0.8324031,0.86597699,,,Urban,Yes,Grassland,,No,NA,NA,
35,31,35.31,post,Other neutral grassland,347.879,0.0347879,0.8324031,0.86597699,,,Urban,Yes,Grassland,,No,NA,NA,
35,32,35.32,post,Other neutral grassland,296.338,0.0296338,0.8324031,0.86597699,,,Urban,Yes,Grassland,,No,NA,NA,
35,33,35.33,post,Modified grassland,1016.664,0.1016664,0.4896696,0.489534409,,,"Urban, mixed scrub",Yes,Grassland,,Yes,,"Mixed scrub, modified grassland, lowland mixed deciduous woodland",
35,34,35.34,post,Mixed scrub,1409.007,0.1409007,1.0367063,0.988356518,,,"Woodland (offsite), modified grassland",No,Heathland and shrub,,Yes,,"Lowland meadows, other neutral grassland, modified grassland, mixed scrub, traditional orchard",
35,35,35.35,post,Modified grassland,2586.347,0.2586347,0.4896696,0.489534409,,,"Urban, mixed scrub",Yes,Grassland,,Yes,,"Lowland meadows, other neutral grassland, modified grassland, mixed scrub, traditional orchard",
35,36,35.36,post,Other neutral grassland,1193.808,0.1193808,0.8324031,0.86597699,,,"Urban, mixed scrub",Yes,Grassland,,Yes,,"Lowland meadows, other neutral grassland, modified grassland, mixed scrub, traditional orchard",
35,37,35.37,post,Mixed scrub,207.499,0.0207499,1.0367063,0.988356518,,,"Urban, other neutral grassland",Yes,Heathland and shrub,,Yes,,"Lowland meadows, other neutral grassland, modified grassland, mixed scrub, traditional orchard",
35,38,35.38,post,Mixed scrub,434.804,0.0434804,1.0367063,0.988356518,,,"Woodland (offsite), lowland meadows",No,Heathland and shrub,,Yes,0.0908241,"Lowland meadows, mixed scrub",
